appmetrica_device_id,city,publisher_name,tracker_name,click_datetime
3138274081591370759,,,Google Play,0000-00-00 00:00:00
14119893566463954040,Dushanbe,,unknown,0000-00-00 00:00:00
15485184451838433826,,,Google Play,0000-00-00 00:00:00
12190371631606609496,Kyiv,,Google Play,0000-00-00 00:00:00
7781530888965868489,,,Google Play,0000-00-00 00:00:00
13068618549833363881,Warsaw,,Google Play,0000-00-00 00:00:00
17330852406780248517,Saint Petersburg,,Google Play,0000-00-00 00:00:00
14895932567504694895,Moscow,,unknown,0000-00-00 00:00:00
9673895469134607017,Chimkent,,Google Play,0000-00-00 00:00:00
14876720008728851653,Kirov,,Google Play,0000-00-00 00:00:00
14918268109129224107,Bryansk,,Google Play,0000-00-00 00:00:00
16126506008253691212,Moscow,,Google Play,0000-00-00 00:00:00
17283949296005046912,Rustavi,,Google Play,0000-00-00 00:00:00
2404443132281825223,,,Google Play,0000-00-00 00:00:00
4479985142112751271,Kemerovo,,Google Play,0000-00-00 00:00:00
9526555692191290673,Taldikorgan,,Google Play,0000-00-00 00:00:00
12419086111671283074,Dushanbe,,Google Play,0000-00-00 00:00:00
13770450486454391222,Tashkent,,Google Play,0000-00-00 00:00:00
703474625797759954,Moscow,,Google Play,0000-00-00 00:00:00
10526640937576952827,Pinsk,,Google Play,0000-00-00 00:00:00
12728413012770238549,Moscow,,unknown,0000-00-00 00:00:00
6596093076493134988,Atyrau,,Google Play,0000-00-00 00:00:00
15232590155860721226,New York,,Google Play,0000-00-00 00:00:00
13265702672414960903,Tashkent,,Google Play,0000-00-00 00:00:00
14726403547934381128,,,Google Play,0000-00-00 00:00:00
18329025121349840205,Vantaa,,Google Play,0000-00-00 00:00:00
15765633390784054682,,,Google Play,0000-00-00 00:00:00
8440684155814992580,Nur-Sultan,,Google Play,0000-00-00 00:00:00
10646209718507660458,,,Google Play,0000-00-00 00:00:00
15559850450851420234,Dushanbe,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-12 08:55:33
9873317363567733484,Dushanbe,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-13 05:06:40
10238657948729019026,Dushanbe,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-13 00:18:25
13898638473296617051,Dushanbe,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-13 18:56:26
